Size,Append,Insert,Delete,Replace,Reverse,IndexOf,LastIndexOf,ToString,Substring
1000,1260875,10401167,354792,15666,125875,12666,25166,42625,3458
2500,1458,10000,14708,9708,129625,5333,3709,94041,4042
5000,3375,16667,11750,8791,305000,17375,9791,215000,3459
7500,1959,10167,12625,8916,422709,8584,4583,277750,7625
10000,1334,11791,10625,10167,503667,5792,5125,368958,2208
25000,1667,13667,13500,12166,1014666,5917,4208,204167,4625
50000,1208,16250,16458,16750,997042,4917,3209,376208,8875
100000,1750,21458,22292,22250,1802583,8291,5250,507500,16833
250000,1792,42917,43083,41292,903417,10250,6667,450583,36291
500000,3208,80000,76417,75042,1450667,7125,4875,697167,67625
1000000,1792,140292,139250,150334,3044333,9875,6666,930250,47917
