"Size";"CustomStringBuilder(CharSequence)";"append(boolean)";"append(char)";"append(char[])";"append(char[], int, int)";"append(CharSequence)";"append(CharSequence, int, int)";"append(double)";"append(float)";"append(int)";"append(long)";"append(String)";"insert(int, boolean)";"insert(int, char)";"insert(int, char[])";"insert(int, char[], int, int)";"insert(int, CharSequence)";"insert(int, CharSequence, int, int)";"insert(int, double)";"insert(int, float)";"insert(int, int)";"insert(int, long)";"insert(int, Object)";"insert(int, String)";"delete(int, int)";"deleteCharAt(int)";"replace(int, int, String)";"reverse()";"indexOf(String)";"indexOf(String, int)";"lastIndexOf(String)";"setCharAt(int, char)";"toString()";"subSequence(int, int)";"substring(int)";"substring(int, int)";"length()"
2500;301;148;314;1714;265;125;315;2402;2079;605;594;112;263;471;1733;337;230;390;2403;2233;581;723;2319;211;1796;1507;1834;38854;1342;1572;1006;3646;5239;563;439;420;49
5000;309;154;141;4210;278;63;216;2342;2420;372;880;55;523;205;3412;329;199;724;4289;3501;444;615;2235;323;892;1207;3900;15042;432;634;540;2370;8755;867;599;431;41
7500;157;96;156;4925;300;101;213;1019;1825;375;428;71;233;198;4780;266;183;221;747;850;426;482;2130;133;515;1463;10926;27212;173;471;450;1555;9156;327;365;230;42
10000;74;56;140;5080;174;59;194;300;361;169;196;47;345;123;5127;163;115;182;367;318;207;191;1977;107;430;932;2374;38999;177;417;258;3406;15272;840;826;831;38
25000;99;61;85;16919;93;71;93;327;247;109;283;79;224;188;16718;159;111;243;417;367;216;226;1445;109;662;3956;8437;25024;129;2248;347;8290;36559;1822;1990;1879;42
50000;103;52;84;32685;104;58;105;255;234;103;177;50;105;137;32655;147;101;179;333;266;135;127;689;58;523;7321;14463;48001;139;3354;170;14659;68794;3262;3241;3456;41
100000;97;61;86;63249;93;66;115;788;237;97;361;74;67;90;63107;112;66;93;314;276;103;112;480;61;568;12861;17643;76206;137;2462;214;13177;98682;2284;2272;2289;39
250000;102;64;79;129102;92;70;139;339;255;108;112;50;65;87;127887;104;72;84;339;230;94;94;362;61;501;32828;42439;168819;129;4562;221;22450;238815;4483;4397;4350;37
500000;95;58;67;247634;93;59;89;432;321;93;92;47;70;79;246734;105;66;84;234;362;126;138;370;64;548;24529;41202;340431;141;8141;316;39627;426839;16022;8292;9085;43
1000000;80;65;74;52539;139;69;89;252;224;94;94;71;64;85;113098;110;72;236;249;228;99;101;389;58;426;59889;100420;683144;134;17819;426;87800;489580;69696;51076;16927;42
