"Size";"StringBuilder(CharSequence)";"append(boolean)";"append(char)";"append(char[])";"append(char[], int, int)";"append(CharSequence)";"append(CharSequence, int, int)";"append(double)";"append(float)";"append(int)";"append(long)";"append(Object)";"append(String)";"insert(int, boolean)";"insert(int, char)";"insert(int, char[])";"insert(int, char[], int, int)";"insert(int, CharSequence)";"insert(int, CharSequence, int, int)";"insert(int, double)";"insert(int, float)";"insert(int, int)";"insert(int, long)";"insert(int, Object)";"insert(int, String)";"delete(int, int)";"deleteCharAt(int)";"replace(int, int, String)";"reverse()";"indexOf(String)";"indexOf(String, int)";"lastIndexOf(String)";"setCharAt(int, char)";"toString()";"subSequence(int, int)";"substring(int)";"substring(int, int)";"length()"
50;1458;417;250;2708;875;750;792;6000;3875;916;875;4375;667;1125;625;1292;750;1125;625;5250;3708;1458;1334;4375;875;583;459;917;958;1167;542;1041;625;625;875;625;458;42
100;4500;375;208;3750;750;916;750;6000;4083;750;834;4333;3500;1208;541;834;709;1083;1958;5458;3917;1709;1333;4291;875;542;500;666;1375;959;458;916;292;541;792;584;417;41
250;1333;417;125;7542;792;958;750;5125;3750;833;708;15792;1875;1125;583;834;750;1083;625;5542;3625;1458;1208;3584;833;584;500;667;2833;1125;541;917;334;584;875;584;417;42
500;1292;416;42;13625;708;709;709;5792;3917;750;833;4667;542;1042;542;916;833;1208;583;4958;4042;1167;1250;3625;834;625;417;625;5125;1000;542;791;6084;542;1750;667;417;41
750;1041;375;83;20542;792;625;708;5833;4042;708;750;3250;542;875;583;958;875;1167;625;5333;5333;1375;1208;4167;1125;708;416;625;7458;958;542;875;333;1792;750;750;417;83
1000;1292;375;83;33000;792;3167;750;5583;3958;875;750;3542;542;1041;500;834;792;1333;583;4958;3875;1209;1125;3292;875;667;458;542;10250;1083;625;792;292;583;833;750;375;83
2500;1834;417;84;62667;791;4209;750;6208;4417;750;875;3167;500;1333;500;1041;916;1583;625;5500;4333;1208;1084;4709;1250;1000;417;583;24375;917;583;708;291;6208;708;1333;459;84
5000;1208;417;42;121708;750;709;708;7334;3459;667;709;2875;1959;1250;583;1000;1250;1917;625;5958;4417;1291;1125;4208;1375;1500;459;667;55334;1000;584;875;292;1542;542;583;208;83
7500;2750;417;84;184250;708;792;750;5708;3875;875;791;2833;1833;1458;625;1458;1416;2333;666;7708;4792;1375;1250;5500;2500;1750;500;709;72416;1167;708;1000;375;625;625;625;208;41
10000;2875;417;83;258917;750;3250;791;5542;3833;667;875;2833;1875;1792;708;1375;1584;3000;875;6291;5375;1333;1375;4250;3542;2167;625;750;96250;1000;583;833;333;1667;500;1792;208;42
25000;4167;458;83;621792;666;5833;833;5750;4292;792;1000;2958;2250;3333;1166;1958;3084;5417;1125;8542;7750;1709;1667;11625;6958;5083;833;1167;244541;959;542;1000;375;3958;542;3459;208;41
50000;6584;416;83;821375;1750;7042;1250;8042;4333;1333;1125;4167;5292;5500;1834;3250;4875;9833;1750;13333;11834;2708;2417;14000;12000;8916;1583;1750;479791;1875;666;958;291;5583;667;6042;209;0
100000;10875;500;208;400792;1250;13000;1125;7333;4209;1083;1083;3292;13667;9792;3500;5375;9208;18417;2833;27625;20917;4125;4042;62375;86250;16709;3125;2750;622125;1584;916;833;459;10667;958;10667;333;41
250000;26083;416;166;962083;500;23792;1125;8500;4959;1000;1000;3458;23083;22334;6625;11875;21667;42041;5833;47458;45125;6750;6833;50750;60167;42791;5417;5500;271375;917;1291;834;334;25375;791;25667;292;83
500000;66125;458;84;171250;458;20917;917;10375;3500;1208;875;3208;15208;41792;10333;21708;41875;88791;10375;87917;83333;11458;11375;45416;53375;79875;10250;10708;147167;1250;792;1125;416;37708;958;21541;208;42
1000000;95333;500;83;369500;458;88417;875;4834;3292;875;791;4125;96208;82041;19542;41750;82292;160334;19833;170458;163792;20875;20333;186750;332834;174917;67125;23125;224084;2250;791;1166;875;97292;1084;94917;166;0
