"Size";"StringBuilder(CharSequence)";"append(boolean)";"append(char)";"append(char[])";"append(char[], int, int)";"append(CharSequence)";"append(CharSequence, int, int)";"append(double)";"append(float)";"append(int)";"append(long)";"append(Object)";"append(String)";"insert(int, boolean)";"insert(int, char)";"insert(int, char[])";"insert(int, char[], int, int)";"insert(int, CharSequence)";"insert(int, CharSequence, int, int)";"insert(int, double)";"insert(int, float)";"insert(int, int)";"insert(int, long)";"insert(int, Object)";"insert(int, String)";"delete(int, int)";"deleteCharAt(int)";"replace(int, int, String)";"reverse()";"indexOf(String)";"indexOf(String, int)";"lastIndexOf(String)";"lastIndexOf(String, int)";"setCharAt(int, char)";"toString()";"subSequence(int, int)";"substring(int)";"substring(int, int)";"length()"
10;6209;1584;291;2625;2916;1250;3375;48042;17417;1625;4500;18625;834;5000;1583;2250;2333;1000;2625;10667;7791;3792;4000;6459;875;2333;2041;2542;1625;3833;1333;3250;750;1083;625;2750;1416;791;83
50;1791;500;250;2541;625;750;750;5834;4083;917;916;4458;625;1125;583;875;792;1041;958;5000;3833;1375;1417;4125;542;625;458;834;958;1417;667;1042;458;250;542;1208;791;584;125
100;4542;375;167;3791;708;833;666;6041;4083;709;875;7625;875;1458;666;1125;1083;2625;1334;6791;4000;1375;1417;4167;542;541;375;792;1375;1417;583;1042;416;250;541;708;542;417;1250
250;2125;375;208;7375;750;1000;667;6125;4166;750;750;3459;541;875;541;958;833;1000;959;5542;3833;1291;1125;3625;417;625;375;625;2833;1250;542;875;375;250;584;792;625;417;125
500;1375;375;83;13709;792;708;708;5375;3959;917;792;3708;541;1084;583;875;792;958;1042;7042;4125;1250;1084;3375;416;708;416;625;5167;1375;667;958;500;583;792;1083;584;458;83
750;1375;500;84;26250;667;667;666;5583;3917;709;875;3375;458;1041;542;917;791;1042;1042;4875;3750;1125;1583;5083;667;917;500;791;9375;1375;542;875;375;292;667;750;583;375;84
1000;1042;375;84;29166;709;666;667;6083;4166;750;834;3041;583;917;541;916;1458;1000;1250;5542;4000;1250;1166;3500;416;750;417;625;10167;1292;625;792;416;291;625;875;584;417;42
2500;2708;459;125;59583;958;1708;708;5541;3875;833;750;2958;500;1125;541;1042;792;1291;1375;5000;3709;1208;1042;4916;750;1333;542;1042;27417;1417;667;750;458;291;1083;1084;1542;375;83
5000;2125;416;83;131375;625;1875;708;7333;5417;1000;1250;3875;791;1917;625;1333;958;1583;1750;5667;4625;1334;1250;4333;583;1500;416;750;48208;1334;500;583;333;250;500;458;583;208;0
7500;1292;375;83;198917;625;833;625;5875;4208;917;1000;3916;2208;2000;792;1792;875;3542;2291;8125;4792;1375;1334;5666;1042;1833;500;1250;72750;1250;541;666;375;250;1000;750;2292;292;83
10000;3875;375;83;241375;708;2041;667;5042;3375;792;750;2334;1833;1625;667;1208;958;2542;2459;5417;4500;1333;2166;3959;709;2209;500;875;92625;1292;500;792;333;291;1708;500;1583;166;42
25000;2916;375;83;598208;1000;2583;917;6334;3417;875;791;2459;4042;3208;1000;1958;1250;6500;4917;7875;6916;1625;1625;10583;1917;5875;875;1792;263958;1375;1959;1083;500;542;4458;584;3666;208;41
50000;5875;458;83;577125;500;5000;708;4708;3333;833;875;2500;4583;4834;1584;2833;1750;32333;8667;11500;10750;2166;2292;12167;2334;8250;1417;1666;469709;1417;584;834;375;292;5250;667;5208;209;0
100000;13042;416;166;433458;458;14833;1125;6000;4333;1083;958;2417;9500;11083;3500;5250;3250;23459;17958;19916;19458;3667;3291;22375;4458;17417;2500;2833;443541;1625;709;917;333;333;10375;708;10250;292;41
250000;25791;542;83;135958;500;23125;792;6625;5417;1125;1083;3375;25417;21042;6084;11542;5709;59000;39459;43417;46791;6042;6042;58209;10500;40833;5375;5791;266541;1708;750;1250;417;459;24333;750;23292;250;42
500000;20875;708;41;199333;2167;40750;1458;9083;4709;1750;1500;6666;19625;47584;10291;20875;14667;62125;79875;80125;84542;10750;10917;56125;21500;76291;10208;10958;511042;1666;750;1000;416;334;75084;3375;65750;250;84
1000000;147541;750;41;408084;375;103250;1167;6458;3583;1375;875;3792;86292;76958;20125;41291;19292;234042;154792;169250;169750;20125;20083;189917;41917;158959;20500;19834;214959;2250;791;958;458;500;104209;1125;97917;250;41
