"Size";"StringBuilder(CharSequence)";"append(boolean)";"append(char)";"append(char[])";"append(char[], int, int)";"append(CharSequence)";"append(CharSequence, int, int)";"append(double)";"append(float)";"append(int)";"append(long)";"append(String)";"insert(int, boolean)";"insert(int, char)";"insert(int, char[])";"insert(int, char[], int, int)";"insert(int, CharSequence)";"insert(int, CharSequence, int, int)";"insert(int, double)";"insert(int, float)";"insert(int, int)";"insert(int, long)";"insert(int, Object)";"insert(int, String)";"delete(int, int)";"deleteCharAt(int)";"replace(int, int, String)";"reverse()";"indexOf(String)";"indexOf(String, int)";"lastIndexOf(String)";"setCharAt(int, char)";"toString()";"subSequence(int, int)";"substring(int)";"substring(int, int)";"length()"
2500;969;226;55;22695;255;681;472;2975;2481;432;452;442;369;292;696;570;724;652;2465;2094;594;588;2152;1042;201;235;348;6158;491;442;440;188;610;384;269;232;38
5000;1531;384;57;2840;203;899;454;1693;1906;228;230;969;338;386;406;426;634;365;1227;2034;610;572;2458;744;191;313;425;12057;248;128;1416;180;410;281;325;396;36
7500;740;127;59;3512;147;611;303;732;813;228;225;914;497;493;512;525;604;335;827;788;675;1165;4926;4369;1431;497;561;2203;115;127;480;187;1359;1990;802;1130;47
10000;1503;61;39;5440;64;1870;214;362;641;220;220;1512;512;610;702;690;639;433;887;867;813;843;4363;3523;118;470;486;2882;81;132;209;261;1817;973;952;975;35
25000;4312;59;41;13634;68;6240;94;351;697;238;319;3833;1000;1406;1264;1248;1330;1043;1880;1507;1380;1330;13685;23789;204;1109;919;7460;318;243;118;421;4982;2449;3272;9873;41
50000;8725;68;43;34912;66;6714;99;290;448;190;200;32877;2252;2162;2173;2108;2144;2023;2329;2305;2062;2062;13178;16440;57;1960;1639;14673;108;118;86;121;5776;3134;3212;3344;36
100000;10316;65;44;60709;69;14814;87;347;266;88;100;12900;3879;3776;3800;3807;4025;4145;4210;4232;4005;3972;9520;12622;60;3720;3103;28967;142;195;89;57;8335;11255;2853;3103;37
250000;11653;61;39;104342;60;12096;112;328;288;99;100;11638;9745;9476;9525;9496;9841;9841;10623;10236;12577;10216;24361;62069;57;9870;7560;72301;97;111;109;61;17395;5945;5748;5744;35
500000;22468;63;45;206403;62;26384;84;404;308;77;84;20104;18904;19508;18986;19264;19508;19513;19204;19507;18983;19044;89552;55359;54;18910;14864;144533;119;139;139;64;22239;11459;11732;11557;38
1000000;44353;67;42;409396;68;74306;86;252;217;92;79;144537;38996;38251;40400;39567;38316;39951;39072;40754;38231;38556;100927;115940;57;38021;29991;287594;125;261;122;69;44901;22507;22526;22890;47
